FIELD,PROJECT 1,PROJECT 2,PROJECT 3,PROJECT 4,PROJECT 5,PROJECT 6
Route (ORIGIN — DESTINATION),,,,,,
Service Type (Air / Sea / Land / Customs),,,,,,
Cargo Type,,,,,,
One-Line Summary,,,,,,
Overview (2-3 sentences),,,,,,
The Challenge (1-2 sentences),,,,,,
Our Solution (1-2 sentences),,,,,,
Stat 1 — Value (e.g. 28 Days),,,,,,
Stat 1 — Label (e.g. Transit Time),,,,,,
Stat 2 — Value (e.g. 6 Tons),,,,,,
Stat 2 — Label (e.g. Weight),,,,,,
Stat 3 — Value (e.g. 100%),,,,,,
Stat 3 — Label (e.g. On-Time Rate),,,,,,
Duration (leave blank if one-off),,,,,,
Photo filename (if you have one),,,,,,
